FECHA;TMAX;TMIN;NOMBRE
18072022;22.9;2.7;ORAN AERO
17072022;20.9;2.9;ORAN AERO
16072022;18.2;10.9;ORAN AERO
15072022;26.2;8.1;ORAN AERO
14072022;26.5;7.1;ORAN AERO
13072022;21.4;4.5;ORAN AERO
12072022;21.0;7.5;ORAN AERO
11072022;22.0;16.3;ORAN AERO
10072022;31.0;13.6;ORAN AERO
9072022;28.4;10.9;ORAN AERO
8072022;22.9;10.5;ORAN AERO
7072022;20.9;10.9;ORAN AERO
6072022;22.0;14.5;ORAN AERO
5072022;20.0;10.3;ORAN AERO
4072022;21.6;9.4;ORAN AERO
3072022;19.8;14.7;ORAN AERO
2072022;24.6;9.4;ORAN AERO
1072022;24.2;5.5;ORAN AERO
30062022;25.0;6.4;ORAN AERO
29062022;24.0;3.8;ORAN AERO
28062022;20.5;8.2;ORAN AERO
27062022;15.7;10.5;ORAN AERO
26062022;13.7;9.3;ORAN AERO
25062022;14.1;9.6;ORAN AERO
24062022;14.5;10.3;ORAN AERO
23062022;14.6;9.9;ORAN AERO
22062022;20.2;14.3;ORAN AERO
21062022;25.3;9.7;ORAN AERO
20062022;25.2;6.7;ORAN AERO
19062022;23.1;4.5;ORAN AERO
18062022;21.6;3.6;ORAN AERO
17062022;24.0;8.9;ORAN AERO
16062022;23.8;7.9;ORAN AERO
15062022;24.9;7.4;ORAN AERO
14062022;24.2;5.9;ORAN AERO
13062022;24.2;6.8;ORAN AERO
12062022;22.2;6.8;ORAN AERO
11062022;18.5;12.8;ORAN AERO
10062022;19.7;14.9;ORAN AERO
9062022;25.5;15.9;ORAN AERO
8062022;22.6;12.9;ORAN AERO
7062022;24.6;8.4;ORAN AERO
6062022;24.2;14.0;ORAN AERO
5062022;17.7;9.2;ORAN AERO
4062022;16.7;6.2;ORAN AERO
3062022;19.8;9.9;ORAN AERO
2062022;19.0;10.9;ORAN AERO
1062022;16.0;9.3;ORAN AERO
31052022;14.3;10.7;ORAN AERO
30052022;16.0;13.4;ORAN AERO
29052022;19.5;14.8;ORAN AERO
28052022;18.2;13.9;ORAN AERO
27052022;19.8;13.6;ORAN AERO
26052022;22.9;16.9;ORAN AERO
25052022;29.8;15.4;ORAN AERO
24052022;28.4;12.9;ORAN AERO
23052022;26.9;9.8;ORAN AERO
22052022;25.8;10.0;ORAN AERO
21052022;24.6;7.8;ORAN AERO
20052022;24.0;5.5;ORAN AERO
19052022;22.4;6.3;ORAN AERO
18052022;20.6;6.5;ORAN AERO
17052022;19.1;7.0;ORAN AERO
16052022;16.8;12.6;ORAN AERO
15052022;19.5;15.7;ORAN AERO
14052022;23.0;17.1;ORAN AERO
13052022;23.0;18.1;ORAN AERO
12052022;24.6;16.2;ORAN AERO
11052022;27.8;12.8;ORAN AERO
10052022;25.2;14.9;ORAN AERO
9052022;24.6;14.9;ORAN AERO
8052022;22.4;17.6;ORAN AERO
7052022;27.5;13.8;ORAN AERO
6052022;27.0;15.1;ORAN AERO
5052022;25.8;10.6;ORAN AERO
4052022;24.4;8.9;ORAN AERO
3052022;23.2;10.7;ORAN AERO
2052022;18.1;13.9;ORAN AERO
1052022;19.5;16.2;ORAN AERO
30042022;20.4;15.7;ORAN AERO
29042022;20.8;16.9;ORAN AERO
28042022;25.8;18.7;ORAN AERO
27042022;33.8;20.3;ORAN AERO
26042022;32.3;19.6;ORAN AERO
25042022;33.5;20.2;ORAN AERO
24042022;26.5;19.4;ORAN AERO
23042022;23.7;17.7;ORAN AERO
22042022;31.8;18.7;ORAN AERO
21042022;31.5;18.0;ORAN AERO
20042022;30.5;18.4;ORAN AERO
19042022;29.3;15.1;ORAN AERO
18042022;26.8;13.9;ORAN AERO
17042022;26.6;13.3;ORAN AERO
16042022;25.4;17.2;ORAN AERO
15042022;23.8;15.2;ORAN AERO
14042022;25.3;17.6;ORAN AERO
13042022;22.5;19.1;ORAN AERO
12042022;26.0;20.7;ORAN AERO
11042022;32.7;22.1;ORAN AERO
10042022;28.5;22.1;ORAN AERO
9042022;26.0;21.5;ORAN AERO
8042022;30.0;20.3;ORAN AERO
7042022;26.3;21.0;ORAN AERO
6042022;26.4;19.7;ORAN AERO
5042022;24.5;20.3;ORAN AERO
4042022;31.0;15.1;ORAN AERO
3042022;28.6;12.2;ORAN AERO
2042022;24.2;13.5;ORAN AERO
1042022;24.0;13.3;ORAN AERO
31032022;19.6;11.8;ORAN AERO
30032022;27.3;11.7;ORAN AERO
29032022;34.0;18.9;ORAN AERO
28032022;33.5;17.8;ORAN AERO
27032022;30.7;14.9;ORAN AERO
26032022;29.5;18.1;ORAN AERO
25032022;28.0;17.5;ORAN AERO
24032022;26.2;19.9;ORAN AERO
23032022;30.0;20.4;ORAN AERO
22032022;29.9;20.1;ORAN AERO
21032022;28.0;18.4;ORAN AERO
20032022;23.2;16.4;ORAN AERO
19032022;24.6;18.9;ORAN AERO
18032022;35.0;20.1;ORAN AERO
17032022;33.5;19.4;ORAN AERO
16032022;32.0;17.5;ORAN AERO
15032022;30.6;17.9;ORAN AERO
14032022;30.0;19.4;ORAN AERO
13032022;28.0;17.8;ORAN AERO
12032022;27.1;18.9;ORAN AERO
11032022;24.5;17.9;ORAN AERO
10032022;28.3;20.5;ORAN AERO
9032022;33.0;22.9;ORAN AERO
8032022;30.3;21.5;ORAN AERO
7032022;36.1;24.2;ORAN AERO
6032022;35.2;25.3;ORAN AERO
5032022;38.5;24.9;ORAN AERO
4032022;36.0;24.2;ORAN AERO
3032022;33.2;21.8;ORAN AERO
2032022;30.9;20.3;ORAN AERO
1032022;29.4;20.4;ORAN AERO
28022022;37.0;23.5;ORAN AERO
27022022;36.5;24.7;ORAN AERO
26022022;34.7;24.5;ORAN AERO
25022022;35.5;23.8;ORAN AERO
24022022;33.3;21.1;ORAN AERO
23022022;30.8;21.9;ORAN AERO
22022022;26.8;20.1;ORAN AERO
21022022;29.7;21.5;ORAN AERO
20022022;28.6;22.0;ORAN AERO
19022022;34.0;20.9;ORAN AERO
18022022;31.8;20.6;ORAN AERO
17022022;30.0;22.2;ORAN AERO
16022022;36.9;21.8;ORAN AERO
15022022;34.3;20.2;ORAN AERO
14022022;28.3;20.4;ORAN AERO
13022022;26.3;19.1;ORAN AERO
12022022;26.8;19.2;ORAN AERO
11022022;33.5;21.9;ORAN AERO
10022022;34.9;20.5;ORAN AERO
9022022;33.0;21.3;ORAN AERO
8022022;30.7;20.6;ORAN AERO
7022022;28.8;18.9;ORAN AERO
6022022;24.1;20.6;ORAN AERO
5022022;27.2;19.2;ORAN AERO
4022022;31.6;21.7;ORAN AERO
3022022;32.2;21.9;ORAN AERO
2022022;36.8;22.6;ORAN AERO
1022022;35.0;20.5;ORAN AERO
31012022;30.6;21.4;ORAN AERO
30012022;33.0;19.4;ORAN AERO
29012022;31.0;20.6;ORAN AERO
28012022;28.5;19.3;ORAN AERO
27012022;29.0;21.3;ORAN AERO
26012022;36.6;23.9;ORAN AERO
25012022;35.9;24.3;ORAN AERO
24012022;30.7;21.9;ORAN AERO
23012022;36.8;23.5;ORAN AERO
22012022;38.0;23.9;ORAN AERO
21012022;38.5;23.7;ORAN AERO
20012022;35.0;22.9;ORAN AERO
19012022;27.0;21.9;ORAN AERO
18012022;32.6;23.2;ORAN AERO
17012022;42.0;24.2;ORAN AERO
16012022;40.2;24.2;ORAN AERO
15012022;40.6;19.9;ORAN AERO
14012022;40.4;21.3;ORAN AERO
13012022;40.0;20.8;ORAN AERO
12012022;40.0;23.0;ORAN AERO
11012022;39.2;23.4;ORAN AERO
10012022;38.6;21.5;ORAN AERO
9012022;35.5;24.6;ORAN AERO
8012022;34.6;25.9;ORAN AERO
7012022;35.4;23.9;ORAN AERO
6012022;35.0;24.2;ORAN AERO
5012022;33.9;23.4;ORAN AERO
4012022;36.6;21.5;ORAN AERO
3012022;38.2;24.9;ORAN AERO
2012022;38.8;23.5;ORAN AERO
1012022;41.1;23.0;ORAN AERO
31122021;39.5;26.1;ORAN AERO
30122021;40.0;23.4;ORAN AERO
29122021;36.5;22.9;ORAN AERO
28122021;33.9;24.8;ORAN AERO
27122021;36.6;20.2;ORAN AERO
26122021;36.0;19.9;ORAN AERO
25122021;31.8;23.2;ORAN AERO
24122021;31.4;23.0;ORAN AERO
23122021;26.8;21.2;ORAN AERO
22122021;36.8;23.4;ORAN AERO
21122021;35.7;21.4;ORAN AERO
20122021;34.0;23.5;ORAN AERO
19122021;39.7;21.1;ORAN AERO
18122021;38.0;20.9;ORAN AERO
17122021;36.0;21.9;ORAN AERO
16122021;31.9;21.9;ORAN AERO
15122021;27.0;21.4;ORAN AERO
14122021;31.0;19.9;ORAN AERO
13122021;33.5;21.3;ORAN AERO
12122021;37.6;21.4;ORAN AERO
11122021;33.0;21.6;ORAN AERO
10122021;34.5;22.5;ORAN AERO
9122021;36.0;25.1;ORAN AERO
8122021;33.3;23.9;ORAN AERO
7122021;30.5;23.0;ORAN AERO
6122021;33.0;22.5;ORAN AERO
5122021;27.5;23.2;ORAN AERO
4122021;31.6;22.4;ORAN AERO
3122021;36.9;25.4;ORAN AERO
2122021;37.4;24.1;ORAN AERO
1122021;36.2;19.9;ORAN AERO
30112021;35.0;17.1;ORAN AERO
29112021;31.1;18.0;ORAN AERO
